OTIMIZACAO 5D ETHUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
1.0   3.5   20    100   0.1   15.80       65.6    
1.0   3.5   30    100   0.1   15.80       65.6    
2.0   3.0   40    80    0.2   15.65       78.3    
2.0   3.0   40    90    0.2   15.65       78.3    
1.0   1.5   20    80    0.1   15.63       63.9    
1.0   1.5   30    80    0.1   15.63       63.9    
1.0   2.0   40    90    0.2   15.23       60.0    
1.0   2.0   20    80    0.1   15.22       62.9    
1.0   2.0   30    80    0.1   15.22       62.9    
2.0   3.0   40    80    0.1   15.00       76.9    
2.0   3.0   40    90    0.1   15.00       76.9    
1.0   1.5   40    80    0.2   14.56       61.3    
1.0   2.0   20    90    0.2   13.48       59.4    
1.0   2.0   30    90    0.2   13.48       59.4    
1.0   3.0   20    90    0.1   12.63       65.6    
1.0   3.0   30    90    0.1   12.63       65.6    
1.0   2.0   40    80    0.2   12.19       60.0    
2.0   3.0   40    100   0.2   11.50       78.3    
1.0   3.0   40    90    0.1   11.47       66.7    
1.0   2.0   40    100   0.2   11.47       60.0    
2.0   3.0   40    100   0.1   10.86       76.9    
1.0   2.0   20    100   0.2   9.72        59.4    
1.0   2.0   30    100   0.2   9.72        59.4    
2.0   1.5   40    80    0.2   9.34        73.9    
2.0   1.5   40    90    0.2   9.34        73.9    
2.0   1.5   40    80    0.1   8.69        73.1    
2.0   1.5   40    90    0.1   8.69        73.1    
1.0   3.5   40    100   0.1   8.57        66.7    
1.0   3.0   40    80    0.1   8.44        66.7    
1.0   3.0   20    100   0.2   7.09        62.1    
1.0   3.0   30    100   0.2   7.09        62.1    
1.0   1.5   40    80    0.0   7.07        64.9    
1.0   3.0   40    100   0.2   5.93        63.0    
2.0   1.5   20    80    0.2   5.87        73.9    
2.0   1.5   20    90    0.2   5.87        73.9    
2.0   1.5   30    80    0.2   5.87        73.9    
2.0   1.5   30    90    0.2   5.87        73.9    
1.0   1.5   20    90    0.0   5.70        63.4    
1.0   1.5   30    90    0.0   5.70        63.4    
2.0   2.0   40    80    0.2   5.60        73.9    
2.0   2.0   40    90    0.2   5.60        73.9    
1.0   1.5   20    100   0.0   5.43        61.0    
1.0   1.5   30    100   0.0   5.43        61.0    
2.0   1.5   20    80    0.1   5.23        73.1    
2.0   1.5   20    90    0.1   5.23        73.1    
2.0   1.5   30    80    0.1   5.23        73.1    
2.0   1.5   30    90    0.1   5.23        73.1    
2.0   1.5   40    100   0.2   5.22        69.6    
2.0   2.0   40    80    0.1   4.95        73.1    
2.0   2.0   40    90    0.1   4.95        73.1    
2.0   1.5   40    100   0.1   4.58        69.2    
1.0   3.5   20    100   0.2   2.78        62.1    
1.0   3.5   30    100   0.2   2.78        62.1    
1.0   3.5   20    90    0.1   2.75        65.6    
1.0   3.5   30    90    0.1   2.75        65.6    
1.0   1.5   20    80    0.2   2.61        60.6    
1.0   1.5   30    80    0.2   2.61        60.6    
1.0   2.0   20    80    0.2   2.20        59.4    
1.0   2.0   30    80    0.2   2.20        59.4    
1.0   2.0   40    80    0.0   1.82        63.9    
2.0   1.5   20    100   0.2   1.77        69.6    
2.0   1.5   30    100   0.2   1.77        69.6    
2.0   2.0   40    100   0.2   1.49        73.9    
1.0   3.0   20    80    0.1   1.37        65.6    
1.0   3.0   30    80    0.1   1.37        65.6    
2.0   1.5   20    100   0.1   1.13        69.2    
2.0   1.5   30    100   0.1   1.13        69.2    
2.0   2.0   40    100   0.1   0.85        73.1    
1.0   3.0   20    90    0.2   -0.35       62.1    
1.0   3.0   30    90    0.2   -0.35       62.1    
1.0   3.0   40    90    0.2   -1.49       63.0    
0.0   2.0   20    100   0.0   -4.35       50.0    
0.0   2.0   20    100   0.1   -4.35       50.0    
0.0   2.0   20    100   0.2   -4.35       50.0    
0.0   2.0   30    100   0.0   -4.35       50.0    
0.0   2.0   30    100   0.1   -4.35       50.0    
0.0   2.0   30    100   0.2   -4.35       50.0    
1.0   3.5   40    100   0.2   -4.36       63.0    
1.0   3.5   40    90    0.1   -4.39       66.7    
