OTIMIZACAO 5D BTCUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
2.0   3.5   30    80    0.0   6.13        100.0   
2.0   3.5   30    90    0.0   6.13        100.0   
2.0   3.5   40    80    0.0   6.13        100.0   
2.0   3.5   40    90    0.0   6.13        100.0   
0.0   1.5   20    80    0.0   4.85        28.6    
0.0   1.5   20    80    0.1   4.85        28.6    
0.0   1.5   20    80    0.2   4.85        28.6    
0.0   1.5   20    90    0.0   4.85        28.6    
0.0   1.5   20    90    0.1   4.85        28.6    
0.0   1.5   20    90    0.2   4.85        28.6    
0.0   1.5   20    100   0.0   4.85        28.6    
0.0   1.5   20    100   0.1   4.85        28.6    
0.0   1.5   20    100   0.2   4.85        28.6    
0.0   1.5   30    80    0.0   4.85        28.6    
0.0   1.5   30    80    0.1   4.85        28.6    
0.0   1.5   30    80    0.2   4.85        28.6    
0.0   1.5   30    90    0.0   4.85        28.6    
0.0   1.5   30    90    0.1   4.85        28.6    
0.0   1.5   30    90    0.2   4.85        28.6    
0.0   1.5   30    100   0.0   4.85        28.6    
0.0   1.5   30    100   0.1   4.85        28.6    
0.0   1.5   30    100   0.2   4.85        28.6    
2.0   1.5   20    100   0.0   4.79        80.0    
2.0   1.5   30    100   0.0   4.79        80.0    
2.0   1.5   40    100   0.0   4.79        80.0    
2.0   2.0   20    100   0.0   4.79        80.0    
2.0   2.0   30    100   0.0   4.79        80.0    
2.0   2.0   40    100   0.0   4.79        80.0    
2.0   2.5   20    100   0.0   4.79        80.0    
2.0   2.5   30    100   0.0   4.79        80.0    
2.0   2.5   40    100   0.0   4.79        80.0    
2.0   3.0   20    100   0.0   4.79        80.0    
2.0   3.0   30    100   0.0   4.79        80.0    
2.0   3.0   40    100   0.0   4.79        80.0    
2.0   3.5   20    100   0.0   4.79        80.0    
2.0   3.5   30    100   0.0   4.79        80.0    
2.0   3.5   40    100   0.0   4.79        80.0    
0.0   2.0   20    80    0.0   3.49        33.3    
0.0   2.0   20    80    0.1   3.49        33.3    
0.0   2.0   20    80    0.2   3.49        33.3    
0.0   2.0   20    90    0.0   3.49        33.3    
0.0   2.0   20    90    0.1   3.49        33.3    
0.0   2.0   20    90    0.2   3.49        33.3    
0.0   2.0   20    100   0.0   3.49        33.3    
0.0   2.0   20    100   0.1   3.49        33.3    
0.0   2.0   20    100   0.2   3.49        33.3    
0.0   2.0   30    80    0.0   3.49        33.3    
0.0   2.0   30    80    0.1   3.49        33.3    
0.0   2.0   30    80    0.2   3.49        33.3    
0.0   2.0   30    90    0.0   3.49        33.3    
0.0   2.0   30    90    0.1   3.49        33.3    
0.0   2.0   30    90    0.2   3.49        33.3    
0.0   2.0   30    100   0.0   3.49        33.3    
0.0   2.0   30    100   0.1   3.49        33.3    
0.0   2.0   30    100   0.2   3.49        33.3    
2.0   1.5   20    80    0.1   -0.57       100.0   
2.0   1.5   20    80    0.2   -0.57       100.0   
2.0   1.5   20    90    0.1   -0.57       100.0   
2.0   1.5   20    90    0.2   -0.57       100.0   
2.0   1.5   20    100   0.1   -0.57       100.0   
2.0   1.5   20    100   0.2   -0.57       100.0   
2.0   1.5   30    80    0.1   -0.57       100.0   
2.0   1.5   30    80    0.2   -0.57       100.0   
2.0   1.5   30    90    0.1   -0.57       100.0   
2.0   1.5   30    90    0.2   -0.57       100.0   
2.0   1.5   30    100   0.1   -0.57       100.0   
2.0   1.5   30    100   0.2   -0.57       100.0   
2.0   1.5   40    80    0.1   -0.57       100.0   
2.0   1.5   40    80    0.2   -0.57       100.0   
2.0   1.5   40    90    0.1   -0.57       100.0   
2.0   1.5   40    90    0.2   -0.57       100.0   
2.0   1.5   40    100   0.1   -0.57       100.0   
2.0   1.5   40    100   0.2   -0.57       100.0   
2.0   2.0   20    80    0.1   -0.57       100.0   
2.0   2.0   20    80    0.2   -0.57       100.0   
2.0   2.0   20    90    0.1   -0.57       100.0   
2.0   2.0   20    90    0.2   -0.57       100.0   
2.0   2.0   20    100   0.1   -0.57       100.0   
2.0   2.0   20    100   0.2   -0.57       100.0   
2.0   2.0   30    80    0.1   -0.57       100.0   
2.0   2.0   30    80    0.2   -0.57       100.0   
2.0   2.0   30    90    0.1   -0.57       100.0   
2.0   2.0   30    90    0.2   -0.57       100.0   
2.0   2.0   30    100   0.1   -0.57       100.0   
2.0   2.0   30    100   0.2   -0.57       100.0   
2.0   2.0   40    80    0.1   -0.57       100.0   
2.0   2.0   40    80    0.2   -0.57       100.0   
2.0   2.0   40    90    0.1   -0.57       100.0   
2.0   2.0   40    90    0.2   -0.57       100.0   
2.0   2.0   40    100   0.1   -0.57       100.0   
2.0   2.0   40    100   0.2   -0.57       100.0   
2.0   2.5   20    80    0.1   -0.57       100.0   
2.0   2.5   20    80    0.2   -0.57       100.0   
2.0   2.5   20    90    0.1   -0.57       100.0   
2.0   2.5   20    90    0.2   -0.57       100.0   
2.0   2.5   20    100   0.1   -0.57       100.0   
2.0   2.5   20    100   0.2   -0.57       100.0   
2.0   2.5   30    80    0.1   -0.57       100.0   
2.0   2.5   30    80    0.2   -0.57       100.0   
2.0   2.5   30    90    0.1   -0.57       100.0   
2.0   2.5   30    90    0.2   -0.57       100.0   
2.0   2.5   30    100   0.1   -0.57       100.0   
2.0   2.5   30    100   0.2   -0.57       100.0   
2.0   2.5   40    80    0.1   -0.57       100.0   
2.0   2.5   40    80    0.2   -0.57       100.0   
2.0   2.5   40    90    0.1   -0.57       100.0   
2.0   2.5   40    90    0.2   -0.57       100.0   
2.0   2.5   40    100   0.1   -0.57       100.0   
2.0   2.5   40    100   0.2   -0.57       100.0   
2.0   3.0   20    80    0.1   -0.57       100.0   
2.0   3.0   20    80    0.2   -0.57       100.0   
2.0   3.0   20    90    0.1   -0.57       100.0   
2.0   3.0   20    90    0.2   -0.57       100.0   
2.0   3.0   20    100   0.1   -0.57       100.0   
2.0   3.0   20    100   0.2   -0.57       100.0   
2.0   3.0   30    80    0.1   -0.57       100.0   
2.0   3.0   30    80    0.2   -0.57       100.0   
2.0   3.0   30    90    0.1   -0.57       100.0   
2.0   3.0   30    90    0.2   -0.57       100.0   
2.0   3.0   30    100   0.1   -0.57       100.0   
2.0   3.0   30    100   0.2   -0.57       100.0   
2.0   3.0   40    80    0.1   -0.57       100.0   
2.0   3.0   40    80    0.2   -0.57       100.0   
2.0   3.0   40    90    0.1   -0.57       100.0   
2.0   3.0   40    90    0.2   -0.57       100.0   
